question,type
Tell me about yourself.,Introduction
What got you interested in this field?,Motivation
Why do you want to work here?,Company
"Tell me about a project or accomplishment that you are particularly proud of. What was your role, and what was the outcome?",Positive Situation
"Describe a situation where a project did not go as planned. What went wrong, and how did you address the issues?",Negative Situation
Why do you want to work for this company?,Company
Why do you want to leave your current/last company?,Company
What are you looking for in your next role?,Motivation
Tell me about a time when you had a conflict with a co-worker.,Negative Situation
Tell me about a time in which you had a conflict and needed to influence somebody else.,Negative Situation
"How do you tackle challenges? Name a difficult challenge you faced while working on a project, how you overcame it, and what you learned.",Positive Situation
What are you excited about?,Motivation
Imagine it is your first day here at the company. What do you want to work on? What features would you improve on?,Positive Situation
What are the most interesting projects you have worked on and how might they be relevant to this company's environment?,Company
Tell me about a time you had a disagreement with your manager.,Negative Situation
"Talk about a project you are most passionate about, or one where you did your best work.",Positive Situation
Please tell us about a time you had to learn a new skill and describe the steps you took to make sure you were successful. What was the outcome?,Positive Situation
"Please describe a time you built a great relationship with someone. Describe the situation, what actions you took, and the result. How was the relationship helpful?",Positive Situation
"Tell us about a time when you did what was right, even though there were easier options. Please describe the situation, your actions, and the outcome.",Positive Situation
"Tell us about a time you had to solve a problem at school or at work, but you were given confusing information. Please describe the situation, what you did, and the outcome.",Negative Situation
What is something that you had to push for in your previous projects?,Positive Situation
Walk me through your resume.,Introduction
What aspects of your work are most often criticized?,Negative Situation
How have you handled criticism of your work?,Negative Situation
Tell me why you will be a good fit for the position.,Company
What is the most challenging project in or out of school that you have worked on in the last 6 months.,Positive Situation
How do you deal with a failed deadline?,Negative Situation
Tell me a situation where you would have done something differently from what you actually did.,Negative Situation
"Apart from technical knowledge, what did you learn during your internship?",Positive Situation
What are your most interesting subjects and why?,Motivation
What makes you unique?,Introduction
What interests you about this role?,Introduction
What do you know about our organisation?,Company
What are your most important strengths?,Positive Situation
What are your biggest weaknesses?,Negative Situation
Can you tell us about your most important achievements?,Positive Situation
Tell me about a time when you made a mistake and what you did to correct it.,Negative Situation
Describe a situation at work that required you to step out of your comfort zone.,Negative Situation
Describe a time when you disagreed with a team member. How did you resolve the problem?,Negative Situation
Recount an instance where you had a different point of view from your manager and the rest of the team on the best way to solve a problem.,Negative Situation
Tell us about a scenario where you had to respond to an unethical action by a colleague. How did you handle it?,Negative Situation
What is the single biggest challenge you've faced in your career and what lessons did you learn from that experience?,Negative Situation
How do you approach problems? What’s your process?,Positive Situation
What's the best idea you've come up with on a team-based project?,Positive Situation
